agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
60,random-32-32-20.map,planner,1,1557,1229,42,42,1430,1229,1,0,0,True,random-32-32-20-random-3.scen,60,False,opti
60,random-32-32-20.map,planner,1,1511,1229,46,42,1413,1229,10470,0,0,True,random-32-32-20-random-3.scen,60,True,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,1,0,4,True,random-32-32-20-random-3.scen,60,False,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,10205,0,4,True,random-32-32-20-random-3.scen,60,True,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,1,0,16,True,random-32-32-20-random-3.scen,60,False,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,10204,0,16,True,random-32-32-20-random-3.scen,60,True,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,0,0,64,True,random-32-32-20-random-3.scen,60,False,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,10210,0,64,True,random-32-32-20-random-3.scen,60,True,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,0,0,64,True,random-32-32-20-random-3.scen,60,False,opti
60,random-32-32-20.map,planner,1,1489,1229,43,42,1400,1229,10207,0,64,True,random-32-32-20-random-3.scen,60,True,opti
60,random-32-32-20.map,planner,1,1719,1341,51,51,1530,1341,0,0,0,True,random-32-32-20-random-2.scen,60,False,opti
60,random-32-32-20.map,planner,1,1630,1341,55,51,1509,1341,10469,0,0,True,random-32-32-20-random-2.scen,60,True,opti
60,random-32-32-20.map,planner,1,1770,1341,53,51,1569,1341,1,0,4,True,random-32-32-20-random-2.scen,60,False,opti
60,random-32-32-20.map,planner,1,1701,1341,56,51,1543,1341,10317,0,4,True,random-32-32-20-random-2.scen,60,True,opti
60,random-32-32-20.map,planner,1,1770,1341,53,51,1569,1341,1,0,16,True,random-32-32-20-random-2.scen,60,False,opti
60,random-32-32-20.map,planner,1,1701,1341,56,51,1543,1341,10320,0,16,True,random-32-32-20-random-2.scen,60,True,opti
60,random-32-32-20.map,planner,1,1770,1341,53,51,1569,1341,1,0,64,True,random-32-32-20-random-2.scen,60,False,opti
