agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,0,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,0,False,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3249,0,0,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3254,0,0,False,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,True,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3255,0,0,True,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3252,0,0,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,False,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3247,0,1,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3248,0,1,False,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,True,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3255,0,1,True,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3253,0,1,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,False,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3253,0,10,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3249,0,10,False,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,True,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,10,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3253,0,10,True,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3257,0,10,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,100,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,11,0,100,False,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3257,0,100,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3256,0,100,False,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,100,True,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,100,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3248,0,100,True,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3255,0,100,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,False,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3253,0,1000,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3256,0,1000,False,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,True,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,1000,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3250,0,1000,True,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,3255,0,1000,True,den520d-random-17.scen,20,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,0,False,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,0,False,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3613,0,0,False,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3609,0,0,False,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,0,True,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,0,True,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3612,0,0,True,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3609,0,0,True,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,23,0,1,False,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,1,False,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3646,0,1,False,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3604,0,1,False,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,25,0,1,True,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,1,True,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3620,0,1,True,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3600,0,1,True,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,10,False,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,25,0,10,False,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3640,0,10,False,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3576,0,10,False,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,10,True,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,10,True,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3618,0,10,True,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3648,0,10,True,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,27,0,100,False,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,100,False,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3608,0,100,False,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3576,0,100,False,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,26,0,100,True,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,22,0,100,True,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3583,0,100,True,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3602,0,100,True,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,1000,False,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,21,0,1000,False,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3639,0,1000,False,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3573,0,1000,False,den520d-random-17.scen,60,True,opti
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,26,0,1000,True,den520d-random-17.scen,60,False,
60,den520d.map,planner,1,11543,11130,349,349,11232,11130,24,0,1000,True,den520d-random-17.scen,60,False,opti
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3625,0,1000,True,den520d-random-17.scen,60,True,
60,den520d.map,planner,1,11473,11130,349,349,11222,11130,3632,0,1000,True,den520d-random-17.scen,60,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,38,0,0,False,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,44,0,0,False,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3124,0,0,False,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3115,0,0,False,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,0,True,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,44,0,0,True,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3112,0,0,True,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3123,0,0,True,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,40,0,1,False,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,42,0,1,False,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3112,0,1,False,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3124,0,1,False,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,45,0,1,True,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19226,18061,410,410,18233,18061,42,0,1,True,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3114,0,1,True,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18926,18061,410,410,18227,18061,3250,0,1,True,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,10,False,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,10,False,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3110,0,10,False,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3111,0,10,False,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,44,0,10,True,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19226,18061,410,410,18233,18061,41,0,10,True,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3115,0,10,True,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,42,0,0,False,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,0,False,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3111,0,0,False,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3118,0,0,False,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,45,0,0,True,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,42,0,0,True,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3109,0,0,True,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3122,0,0,True,den520d-random-17.scen,100,True,opti
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,39,0,1,False,den520d-random-17.scen,100,False,
100,den520d.map,planner,1,19092,18061,410,410,18246,18061,43,0,1,False,den520d-random-17.scen,100,False,opti
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3116,0,1,False,den520d-random-17.scen,100,True,
100,den520d.map,planner,1,18738,18061,410,410,18242,18061,3119,0,1,False,den520d-random-17.scen,100,True,opti
