agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3337,0,0,False,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3318,0,0,False,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3324,0,0,True,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3337,0,0,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,False,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,False,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3337,0,1,False,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3339,0,1,False,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,True,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,1,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3320,0,1,True,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3078,0,1,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,False,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,False,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3330,0,10,False,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,3322,0,10,False,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,10,True,random-32-32-20-random-3.scen,20,False,
