agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,False,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,False,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3377,0,0,False,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3383,0,0,False,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,True,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3370,0,0,True,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3377,0,0,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,False,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,False,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3377,0,1,False,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3378,0,1,False,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,True,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,1,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3380,0,1,True,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,3339,0,1,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,False,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,False,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3379,0,10,False,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3381,0,10,False,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,True,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,10,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,3380,0,10,True,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,3339,0,10,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,False,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,100,False,ht_chantry-random-5.scen,20,False,opti
