agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3329,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3325,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3321,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3326,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3321,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3323,0,1,False,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,2,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3323,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3242,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3332,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3323,0,10,False,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3322,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3240,0,10,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3322,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3353,0,100,False,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,2,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3324,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3251,0,100,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3321,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3320,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3319,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,3245,0,1000,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3097,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3138,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3104,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3129,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3101,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3132,0,1,False,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,6,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6711,5554,194,194,6172,5554,5,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3105,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,3095,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3105,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3131,0,10,False,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6711,5554,194,194,6172,5554,5,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3101,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,3093,0,10,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3097,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3129,0,100,False,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6711,5554,194,194,6172,5554,5,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3097,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,3092,0,100,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60,False,
60,warehouse-10-20-10-2-1.map,planner,1,6617,5554,194,194,6138,5554,5,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60,False,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,3100,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,3134,0,1000,False,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
