agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,False,random-32-32-20-random-3.scen,20,False,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,11285,0,0,False,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,0,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,11285,0,0,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,4,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10978,0,4,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,16,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10981,0,16,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,441,388,41,41,416,388,0,0,64,True,random-32-32-20-random-3.scen,20,False,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10965,0,64,True,random-32-32-20-random-3.scen,20,True,opti
100,random-32-32-20.map,planner,1,2902,2083,45,42,2594,2083,1,0,0,False,random-32-32-20-random-3.scen,100,False,
100,random-32-32-20.map,planner,1,2900,2083,43,42,2592,2083,10202,0,0,False,random-32-32-20-random-3.scen,100,True,
100,random-32-32-20.map,planner,1,2964,2083,47,42,2703,2083,1,0,0,True,random-32-32-20-random-3.scen,100,False,opti
100,random-32-32-20.map,planner,1,2898,2083,54,42,2620,2083,10421,0,0,True,random-32-32-20-random-3.scen,100,True,opti
100,random-32-32-20.map,planner,1,3041,2083,55,42,2671,2083,2,0,4,True,random-32-32-20-random-3.scen,100,False,opti
100,random-32-32-20.map,planner,1,3012,2083,57,42,2667,2083,10136,0,4,True,random-32-32-20-random-3.scen,100,True,opti
100,random-32-32-20.map,planner,1,3041,2083,55,42,2671,2083,2,0,16,True,random-32-32-20-random-3.scen,100,False,opti
100,random-32-32-20.map,planner,1,2955,2083,50,42,2606,2083,10243,0,16,True,random-32-32-20-random-3.scen,100,True,opti
100,random-32-32-20.map,planner,1,3041,2083,55,42,2671,2083,2,0,64,True,random-32-32-20-random-3.scen,100,False,opti
100,random-32-32-20.map,planner,1,3012,2083,57,42,2667,2083,10395,0,64,True,random-32-32-20-random-3.scen,100,True,opti
180,random-32-32-20.map,planner,1,6676,3862,57,42,5844,3862,3,0,0,False,random-32-32-20-random-3.scen,180,False,
180,random-32-32-20.map,planner,1,6695,3862,60,42,5828,3862,10814,0,0,False,random-32-32-20-random-3.scen,180,True,
180,random-32-32-20.map,planner,1,7102,3862,85,42,6171,3862,14,0,0,True,random-32-32-20-random-3.scen,180,False,opti
180,random-32-32-20.map,planner,1,7024,3862,90,42,6136,3862,10549,0,0,True,random-32-32-20-random-3.scen,180,True,opti
180,random-32-32-20.map,planner,1,7100,3862,84,42,6039,3862,199,0,4,True,random-32-32-20-random-3.scen,180,False,opti
180,random-32-32-20.map,planner,1,6620,3862,67,42,5838,3862,10476,0,4,True,random-32-32-20-random-3.scen,180,True,opti
180,random-32-32-20.map,planner,1,6639,3862,62,42,5844,3862,121,0,16,True,random-32-32-20-random-3.scen,180,False,opti
180,random-32-32-20.map,planner,1,6581,3862,68,42,5819,3862,10238,0,16,True,random-32-32-20-random-3.scen,180,True,opti
180,random-32-32-20.map,planner,1,6657,3862,67,42,5842,3862,1203,0,64,True,random-32-32-20-random-3.scen,180,False,opti
180,random-32-32-20.map,planner,1,6905,3862,75,42,6005,3862,10368,0,64,True,random-32-32-20-random-3.scen,180,True,opti
260,random-32-32-20.map,planner,1,12524,5731,73,56,10903,5731,6,0,0,False,random-32-32-20-random-3.scen,260,False,
260,random-32-32-20.map,planner,1,12520,5731,73,56,10901,5731,10040,0,0,False,random-32-32-20-random-3.scen,260,True,
