agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,0,False,den520d-random-17.scen,20,False,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10376,0,0,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,0,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10368,0,0,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,4,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10373,0,4,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,8,0,16,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10371,0,16,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4257,4185,349,349,4195,4185,9,0,64,True,den520d-random-17.scen,20,False,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10364,0,64,True,den520d-random-17.scen,20,True,opti
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,60,0,0,False,den520d-random-17.scen,140,False,
140,den520d.map,planner,1,25197,23753,410,410,24117,23753,10254,0,0,False,den520d-random-17.scen,140,True,
140,den520d.map,planner,1,25336,23753,410,410,24119,23753,51,0,0,True,den520d-random-17.scen,140,False,opti
140,den520d.map,planner,1,25197,23753,410,410,24117,23753,10253,0,0,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,61,0,4,True,den520d-random-17.scen,140,False,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10185,0,4,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,57,0,16,True,den520d-random-17.scen,140,False,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10183,0,16,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25290,23753,410,410,24109,23753,55,0,64,True,den520d-random-17.scen,140,False,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10187,0,64,True,den520d-random-17.scen,140,True,opti
260,den520d.map,planner,1,49840,44016,410,410,45210,44016,109,0,0,False,den520d-random-17.scen,260,False,
260,den520d.map,planner,1,49662,44016,410,410,45208,44016,10556,0,0,False,den520d-random-17.scen,260,True,
260,den520d.map,planner,1,50604,44016,410,410,45230,44016,110,0,0,True,den520d-random-17.scen,260,False,opti
260,den520d.map,planner,1,49661,44016,410,410,45052,44016,10440,0,0,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,100,0,4,True,den520d-random-17.scen,260,False,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10549,0,4,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,105,0,16,True,den520d-random-17.scen,260,False,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10559,0,16,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49448,44016,410,410,44986,44016,106,0,64,True,den520d-random-17.scen,260,False,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10574,0,64,True,den520d-random-17.scen,260,True,opti
380,den520d.map,planner,1,75577,63787,410,410,66198,63787,162,0,0,False,den520d-random-17.scen,380,False,
380,den520d.map,planner,1,75336,63787,412,410,66053,63787,10230,0,0,False,den520d-random-17.scen,380,True,
380,den520d.map,planner,1,76851,63787,410,410,66198,63787,166,0,0,True,den520d-random-17.scen,380,False,opti
380,den520d.map,planner,1,75341,63787,410,410,66002,63787,10237,0,0,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,165,0,4,True,den520d-random-17.scen,380,False,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10355,0,4,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,168,0,16,True,den520d-random-17.scen,380,False,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10361,0,16,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,163,0,64,True,den520d-random-17.scen,380,False,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10348,0,64,True,den520d-random-17.scen,380,True,opti
500,den520d.map,planner,1,100754,82969,410,410,86649,82969,214,0,0,False,den520d-random-17.scen,500,False,
500,den520d.map,planner,1,99368,82969,412,410,86542,82969,10188,0,0,False,den520d-random-17.scen,500,True,
500,den520d.map,planner,1,101786,82969,410,410,86688,82969,226,0,0,True,den520d-random-17.scen,500,False,opti
500,den520d.map,planner,1,102253,82969,414,410,86548,82969,10217,0,0,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,101281,82969,415,410,86247,82969,236,0,4,True,den520d-random-17.scen,500,False,opti
500,den520d.map,planner,1,101489,82969,410,410,86282,82969,10248,0,4,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,100777,82969,410,410,86292,82969,226,0,16,True,den520d-random-17.scen,500,False,opti
500,den520d.map,planner,1,100590,82969,410,410,86185,82969,10163,0,16,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,100584,82969,410,410,86188,82969,240,0,64,True,den520d-random-17.scen,500,False,opti
500,den520d.map,planner,1,101293,82969,410,410,86219,82969,10151,0,64,True,den520d-random-17.scen,500,True,opti
620,den520d.map,planner,1,129854,103530,411,410,109517,103530,262,0,0,False,den520d-random-17.scen,620,False,
620,den520d.map,planner,1,129236,103530,411,410,109016,103530,10169,0,0,False,den520d-random-17.scen,620,True,
620,den520d.map,planner,1,128967,103530,410,410,109408,103530,286,0,0,True,den520d-random-17.scen,620,False,opti
