agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,False,ht_chantry-random-5.scen,20,False,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,10687,0,0,False,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,0,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,10659,0,0,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,4,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11044,0,4,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,16,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11053,0,16,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2153,2005,171,171,2046,2005,2,0,64,True,ht_chantry-random-5.scen,20,False,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11053,0,64,True,ht_chantry-random-5.scen,20,True,opti
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,12,0,0,False,ht_chantry-random-5.scen,100,False,
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,11473,0,0,False,ht_chantry-random-5.scen,100,True,
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,10,0,0,True,ht_chantry-random-5.scen,100,False,opti
100,ht_chantry.map,planner,1,11832,9892,203,203,10486,9892,11451,0,0,True,ht_chantry-random-5.scen,100,True,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,10,0,4,True,ht_chantry-random-5.scen,100,False,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,11372,0,4,True,ht_chantry-random-5.scen,100,True,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,11,0,16,True,ht_chantry-random-5.scen,100,False,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,11388,0,16,True,ht_chantry-random-5.scen,100,True,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,10,0,64,True,ht_chantry-random-5.scen,100,False,opti
100,ht_chantry.map,planner,1,11811,9892,203,203,10538,9892,11376,0,64,True,ht_chantry-random-5.scen,100,True,opti
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,21,0,0,False,ht_chantry-random-5.scen,180,False,
180,ht_chantry.map,planner,1,22414,17785,203,203,19599,17785,10886,0,0,False,ht_chantry-random-5.scen,180,True,
180,ht_chantry.map,planner,1,22426,17785,203,203,19609,17785,21,0,0,True,ht_chantry-random-5.scen,180,False,opti
180,ht_chantry.map,planner,1,22414,17785,203,203,19599,17785,10781,0,0,True,ht_chantry-random-5.scen,180,True,opti
180,ht_chantry.map,planner,1,22408,17785,203,203,19422,17785,39,0,4,True,ht_chantry-random-5.scen,180,False,opti
180,ht_chantry.map,planner,1,21556,17785,206,203,19295,17785,10593,0,4,True,ht_chantry-random-5.scen,180,True,opti
180,ht_chantry.map,planner,1,22139,17785,204,203,19378,17785,86,0,16,True,ht_chantry-random-5.scen,180,False,opti
180,ht_chantry.map,planner,1,22015,17785,205,203,19298,17785,10773,0,16,True,ht_chantry-random-5.scen,180,True,opti
180,ht_chantry.map,planner,1,22014,17785,203,203,19324,17785,74,0,64,True,ht_chantry-random-5.scen,180,False,opti
180,ht_chantry.map,planner,1,22167,17785,205,203,19217,17785,10126,0,64,True,ht_chantry-random-5.scen,180,True,opti
260,ht_chantry.map,planner,1,33581,25650,203,203,29079,25650,31,0,0,False,ht_chantry-random-5.scen,260,False,
