agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10892,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10880,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,4,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10913,0,4,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,16,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10924,0,16,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1705,1542,175,175,1652,1542,1,0,64,True,warehouse-10-20-10-2-1-random-16.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10909,0,64,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11841,8918,204,194,10401,8918,9,0,0,False,warehouse-10-20-10-2-1-random-16.scen,100,False,
100,warehouse-10-20-10-2-1.map,planner,1,11569,8918,196,194,10269,8918,10121,0,0,False,warehouse-10-20-10-2-1-random-16.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11889,8918,215,194,10630,8918,77,0,0,True,warehouse-10-20-10-2-1-random-16.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11810,8918,201,194,10492,8918,10196,0,0,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12709,8918,293,194,10776,8918,27,0,4,True,warehouse-10-20-10-2-1-random-16.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10881,0,4,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12709,8918,293,194,10776,8918,27,0,16,True,warehouse-10-20-10-2-1-random-16.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10885,0,16,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12709,8918,293,194,10776,8918,27,0,64,True,warehouse-10-20-10-2-1-random-16.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10838,0,64,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,20446,14584,194,194,17794,14584,17,0,0,False,warehouse-10-20-10-2-1-random-16.scen,180,False,
180,warehouse-10-20-10-2-1.map,planner,1,20444,14584,194,194,17792,14584,10099,0,0,False,warehouse-10-20-10-2-1-random-16.scen,180,True,
180,warehouse-10-20-10-2-1.map,planner,1,21531,14584,221,194,18908,14584,5404,0,0,True,warehouse-10-20-10-2-1-random-16.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,1,21531,14584,221,194,18908,14584,10315,0,0,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22647,14584,291,194,19605,14584,4256,0,4,True,warehouse-10-20-10-2-1-random-16.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10290,0,4,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22647,14584,291,194,19605,14584,4297,0,16,True,warehouse-10-20-10-2-1-random-16.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10294,0,16,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22647,14584,291,194,19605,14584,4281,0,64,True,warehouse-10-20-10-2-1-random-16.scen,180,False,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10297,0,64,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
260,warehouse-10-20-10-2-1.map,planner,1,33583,20646,208,194,28133,20646,23,0,0,False,warehouse-10-20-10-2-1-random-16.scen,260,False,
260,warehouse-10-20-10-2-1.map,planner,1,33583,20646,208,194,28133,20646,10297,0,0,False,warehouse-10-20-10-2-1-random-16.scen,260,True,
260,warehouse-10-20-10-2-1.map,planner,1,34365,20646,231,194,29282,20646,1026,0,0,True,warehouse-10-20-10-2-1-random-16.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,1,34365,20646,231,194,29282,20646,10174,0,0,True,warehouse-10-20-10-2-1-random-16.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10290,0,4,True,warehouse-10-20-10-2-1-random-16.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10294,0,4,True,warehouse-10-20-10-2-1-random-16.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10293,0,16,True,warehouse-10-20-10-2-1-random-16.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10281,0,16,True,warehouse-10-20-10-2-1-random-16.scen,260,True,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10297,0,64,True,warehouse-10-20-10-2-1-random-16.scen,260,False,opti
260,warehouse-10-20-10-2-1.map,planner,0,0,20646,0,194,0,20646,10284,0,64,True,warehouse-10-20-10-2-1-random-16.scen,260,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,0,False,warehouse-10-20-10-2-1-random-17.scen,20,False,
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11089,0,0,False,warehouse-10-20-10-2-1-random-17.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,0,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11115,0,0,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,4,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11089,0,4,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,1,0,16,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11115,0,16,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1750,1552,185,185,1653,1552,2,0,64,True,warehouse-10-20-10-2-1-random-17.scen,20,False,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11106,0,64,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,10945,8671,185,185,10151,8671,8,0,0,False,warehouse-10-20-10-2-1-random-17.scen,100,False,
100,warehouse-10-20-10-2-1.map,planner,1,10798,8671,200,185,9975,8671,10170,0,0,False,warehouse-10-20-10-2-1-random-17.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11750,8671,236,185,10537,8671,847,0,0,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
100,warehouse-10-20-10-2-1.map,planner,1,11614,8671,232,185,10527,8671,10206,0,0,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,12008,8671,266,185,10887,8671,690,0,4,True,warehouse-10-20-10-2-1-random-17.scen,100,False,opti
