agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,11323,0,0,False,random-32-32-20-random-3.scen,20,True,
20,random-32-32-20.map,planner,1,396,388,43,41,395,388,11284,0,0,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10984,0,1,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10967,0,4,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10973,0,16,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10973,0,64,True,random-32-32-20-random-3.scen,20,True,opti
20,random-32-32-20.map,planner,1,395,388,41,41,392,388,10970,0,256,True,random-32-32-20-random-3.scen,20,True,opti
80,random-32-32-20.map,planner,1,2114,1623,44,42,1917,1623,10259,0,0,False,random-32-32-20-random-3.scen,80,True,
80,random-32-32-20.map,planner,1,2175,1623,48,42,1925,1623,10387,0,0,True,random-32-32-20-random-3.scen,80,True,opti
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,10463,0,1,True,random-32-32-20-random-3.scen,80,True,opti
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,10467,0,4,True,random-32-32-20-random-3.scen,80,True,opti
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,10494,0,16,True,random-32-32-20-random-3.scen,80,True,opti
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,10472,0,64,True,random-32-32-20-random-3.scen,80,True,opti
80,random-32-32-20.map,planner,1,2196,1623,44,42,1937,1623,10456,0,256,True,random-32-32-20-random-3.scen,80,True,opti
140,random-32-32-20.map,planner,1,4637,2990,50,42,4169,2990,10591,0,0,False,random-32-32-20-random-3.scen,140,True,
140,random-32-32-20.map,planner,1,4791,2990,58,42,4169,2990,10229,0,0,True,random-32-32-20-random-3.scen,140,True,opti
140,random-32-32-20.map,planner,1,4550,2990,58,42,4074,2990,10557,0,1,True,random-32-32-20-random-3.scen,140,True,opti
140,random-32-32-20.map,planner,1,4730,2990,56,42,4131,2990,10251,0,4,True,random-32-32-20-random-3.scen,140,True,opti
140,random-32-32-20.map,planner,1,4643,2990,58,42,4087,2990,10111,0,16,True,random-32-32-20-random-3.scen,140,True,opti
140,random-32-32-20.map,planner,1,4571,2990,56,42,4005,2990,10373,0,64,True,random-32-32-20-random-3.scen,140,True,opti
140,random-32-32-20.map,planner,1,4699,2990,65,42,4078,2990,10073,0,256,True,random-32-32-20-random-3.scen,140,True,opti
200,random-32-32-20.map,planner,1,7701,4300,64,56,6713,4300,10470,0,0,False,random-32-32-20-random-3.scen,200,True,
200,random-32-32-20.map,planner,1,8246,4300,81,56,7026,4300,10174,0,0,True,random-32-32-20-random-3.scen,200,True,opti
