agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10364,0,0,False,den520d-random-17.scen,20,True,
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10356,0,0,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10370,0,1,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10363,0,4,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10371,0,16,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10358,0,64,True,den520d-random-17.scen,20,True,opti
20,den520d.map,planner,1,4255,4185,349,349,4193,4185,10364,0,256,True,den520d-random-17.scen,20,True,opti
140,den520d.map,planner,1,25197,23753,410,410,24117,23753,10255,0,0,False,den520d-random-17.scen,140,True,
140,den520d.map,planner,1,25197,23753,410,410,24117,23753,10255,0,0,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10173,0,1,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10179,0,4,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10172,0,16,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10168,0,64,True,den520d-random-17.scen,140,True,opti
140,den520d.map,planner,1,25254,23753,410,410,24107,23753,10174,0,256,True,den520d-random-17.scen,140,True,opti
260,den520d.map,planner,1,49662,44016,410,410,45208,44016,10527,0,0,False,den520d-random-17.scen,260,True,
260,den520d.map,planner,1,49661,44016,410,410,45052,44016,10426,0,0,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10550,0,1,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10549,0,4,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10542,0,16,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10515,0,64,True,den520d-random-17.scen,260,True,opti
260,den520d.map,planner,1,49259,44016,410,410,44984,44016,10559,0,256,True,den520d-random-17.scen,260,True,opti
380,den520d.map,planner,1,75336,63787,412,410,66053,63787,10241,0,0,False,den520d-random-17.scen,380,True,
380,den520d.map,planner,1,75341,63787,410,410,66002,63787,10237,0,0,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,74972,63787,412,410,65919,63787,10348,0,1,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10355,0,4,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10375,0,16,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10358,0,64,True,den520d-random-17.scen,380,True,opti
380,den520d.map,planner,1,76509,63787,410,410,65881,63787,10349,0,256,True,den520d-random-17.scen,380,True,opti
500,den520d.map,planner,1,99368,82969,412,410,86542,82969,10181,0,0,False,den520d-random-17.scen,500,True,
500,den520d.map,planner,1,102253,82969,414,410,86548,82969,10216,0,0,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,99716,82969,410,410,86191,82969,10261,0,1,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,100456,82969,410,410,86311,82969,10238,0,4,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,99383,82969,410,410,86184,82969,10253,0,16,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,101884,82969,410,410,86303,82969,10240,0,64,True,den520d-random-17.scen,500,True,opti
500,den520d.map,planner,1,100279,82969,410,410,86232,82969,10261,0,256,True,den520d-random-17.scen,500,True,opti
620,den520d.map,planner,1,129236,103530,411,410,109016,103530,10170,0,0,False,den520d-random-17.scen,620,True,
620,den520d.map,planner,1,128832,103530,412,410,109290,103530,10170,0,0,True,den520d-random-17.scen,620,True,opti
620,den520d.map,planner,1,127908,103530,412,410,108915,103530,10111,0,1,True,den520d-random-17.scen,620,True,opti
620,den520d.map,planner,1,129680,103530,412,410,108943,103530,10178,0,4,True,den520d-random-17.scen,620,True,opti
620,den520d.map,planner,1,129332,103530,410,410,108966,103530,10045,0,16,True,den520d-random-17.scen,620,True,opti
620,den520d.map,planner,1,128141,103530,412,410,108829,103530,10135,0,64,True,den520d-random-17.scen,620,True,opti
620,den520d.map,planner,1,129071,103530,412,410,108800,103530,10059,0,256,True,den520d-random-17.scen,620,True,opti
740,den520d.map,planner,1,158030,124826,412,410,132838,124826,10036,0,0,False,den520d-random-17.scen,740,True,
740,den520d.map,planner,1,159354,124826,412,410,132948,124826,10153,0,0,True,den520d-random-17.scen,740,True,opti
740,den520d.map,planner,1,158759,124826,410,410,132507,124826,10164,0,1,True,den520d-random-17.scen,740,True,opti
740,den520d.map,planner,1,157550,124826,413,410,132560,124826,10161,0,4,True,den520d-random-17.scen,740,True,opti
740,den520d.map,planner,1,157081,124826,415,410,132283,124826,10133,0,16,True,den520d-random-17.scen,740,True,opti
740,den520d.map,planner,1,157471,124826,412,410,132166,124826,10104,0,64,True,den520d-random-17.scen,740,True,opti
740,den520d.map,planner,1,158874,124826,412,410,132179,124826,10065,0,256,True,den520d-random-17.scen,740,True,opti
860,den520d.map,planner,1,190007,145111,410,410,155882,145111,10036,0,0,False,den520d-random-17.scen,860,True,
860,den520d.map,planner,1,189116,145111,410,410,156131,145111,10104,0,0,True,den520d-random-17.scen,860,True,opti
860,den520d.map,planner,1,188204,145111,410,410,155378,145111,10125,0,1,True,den520d-random-17.scen,860,True,opti
860,den520d.map,planner,1,187954,145111,412,410,155144,145111,10131,0,4,True,den520d-random-17.scen,860,True,opti
860,den520d.map,planner,1,188100,145111,410,410,155189,145111,10097,0,16,True,den520d-random-17.scen,860,True,opti
860,den520d.map,planner,1,187590,145111,412,410,154992,145111,10055,0,64,True,den520d-random-17.scen,860,True,opti
860,den520d.map,planner,1,187948,145111,410,410,155287,145111,10058,0,256,True,den520d-random-17.scen,860,True,opti
980,den520d.map,planner,1,219388,164507,410,410,179596,164507,10120,0,0,False,den520d-random-17.scen,980,True,
980,den520d.map,planner,1,218821,164507,414,410,178873,164507,10101,0,0,True,den520d-random-17.scen,980,True,opti
980,den520d.map,planner,1,220110,164507,412,410,178609,164507,10098,0,1,True,den520d-random-17.scen,980,True,opti
980,den520d.map,planner,1,218921,164507,412,410,178525,164507,10070,0,4,True,den520d-random-17.scen,980,True,opti
980,den520d.map,planner,1,221576,164507,410,410,179207,164507,10025,0,16,True,den520d-random-17.scen,980,True,opti
980,den520d.map,planner,1,219955,164507,412,410,177962,164507,10030,0,64,True,den520d-random-17.scen,980,True,opti
980,den520d.map,planner,1,219584,164507,410,410,177864,164507,10061,0,256,True,den520d-random-17.scen,980,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,0,False,den520d-random-2.scen,20,True,
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,0,True,den520d-random-2.scen,20,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,1,True,den520d-random-2.scen,20,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,4,True,den520d-random-2.scen,20,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,16,True,den520d-random-2.scen,20,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,12,0,64,True,den520d-random-2.scen,20,True,opti
20,den520d.map,planner,1,3307,3307,328,328,3307,3307,14,0,256,True,den520d-random-2.scen,20,True,opti
140,den520d.map,planner,1,27906,24801,385,383,25131,24801,10141,0,0,False,den520d-random-2.scen,140,True,
140,den520d.map,planner,1,27906,24801,385,383,25131,24801,10121,0,0,True,den520d-random-2.scen,140,True,opti
140,den520d.map,planner,1,27519,24801,383,383,25163,24801,10481,0,1,True,den520d-random-2.scen,140,True,opti
