agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,10594,0,0,False,ht_chantry-random-5.scen,20,True,
20,ht_chantry.map,planner,1,2027,2005,172,171,2027,2005,10588,0,0,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11056,0,1,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11034,0,4,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11087,0,16,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11042,0,64,True,ht_chantry-random-5.scen,20,True,opti
20,ht_chantry.map,planner,1,2025,2005,174,171,2025,2005,11011,0,256,True,ht_chantry-random-5.scen,20,True,opti
80,ht_chantry.map,planner,1,9590,8163,205,203,8610,8163,11440,0,0,False,ht_chantry-random-5.scen,80,True,
80,ht_chantry.map,planner,1,9590,8163,205,203,8610,8163,11367,0,0,True,ht_chantry-random-5.scen,80,True,opti
80,ht_chantry.map,planner,1,9272,8163,203,203,8550,8163,10951,0,1,True,ht_chantry-random-5.scen,80,True,opti
80,ht_chantry.map,planner,1,9272,8163,203,203,8550,8163,10898,0,4,True,ht_chantry-random-5.scen,80,True,opti
80,ht_chantry.map,planner,1,9272,8163,203,203,8550,8163,11041,0,16,True,ht_chantry-random-5.scen,80,True,opti
80,ht_chantry.map,planner,1,9272,8163,203,203,8550,8163,10924,0,64,True,ht_chantry-random-5.scen,80,True,opti
80,ht_chantry.map,planner,1,9272,8163,203,203,8550,8163,10910,0,256,True,ht_chantry-random-5.scen,80,True,opti
140,ht_chantry.map,planner,1,17453,14076,205,203,15163,14076,10245,0,0,False,ht_chantry-random-5.scen,140,True,
140,ht_chantry.map,planner,1,17453,14076,205,203,15163,14076,10201,0,0,True,ht_chantry-random-5.scen,140,True,opti
140,ht_chantry.map,planner,1,17405,14076,210,203,15139,14076,10687,0,1,True,ht_chantry-random-5.scen,140,True,opti
140,ht_chantry.map,planner,1,17238,14076,206,203,15183,14076,10682,0,4,True,ht_chantry-random-5.scen,140,True,opti
140,ht_chantry.map,planner,1,17177,14076,208,203,15215,14076,10905,0,16,True,ht_chantry-random-5.scen,140,True,opti
140,ht_chantry.map,planner,1,17177,14076,208,203,15215,14076,10947,0,64,True,ht_chantry-random-5.scen,140,True,opti
140,ht_chantry.map,planner,1,17177,14076,208,203,15215,14076,10896,0,256,True,ht_chantry-random-5.scen,140,True,opti
200,ht_chantry.map,planner,1,25022,19547,203,203,21567,19547,10393,0,0,False,ht_chantry-random-5.scen,200,True,
200,ht_chantry.map,planner,1,25022,19547,203,203,21567,19547,10358,0,0,True,ht_chantry-random-5.scen,200,True,opti
200,ht_chantry.map,planner,1,24697,19547,203,203,21376,19547,10724,0,1,True,ht_chantry-random-5.scen,200,True,opti
200,ht_chantry.map,planner,1,25039,19547,206,203,21415,19547,10081,0,4,True,ht_chantry-random-5.scen,200,True,opti
200,ht_chantry.map,planner,1,24853,19547,205,203,21358,19547,10464,0,16,True,ht_chantry-random-5.scen,200,True,opti
200,ht_chantry.map,planner,1,24548,19547,209,203,21252,19547,10293,0,64,True,ht_chantry-random-5.scen,200,True,opti
200,ht_chantry.map,planner,1,24683,19547,207,203,21292,19547,10094,0,256,True,ht_chantry-random-5.scen,200,True,opti
260,ht_chantry.map,planner,1,33429,25650,205,203,28719,25650,10532,0,0,False,ht_chantry-random-5.scen,260,True,
260,ht_chantry.map,planner,1,33910,25650,203,203,29113,25650,10552,0,0,True,ht_chantry-random-5.scen,260,True,opti
260,ht_chantry.map,planner,1,33397,25650,207,203,28492,25650,10641,0,1,True,ht_chantry-random-5.scen,260,True,opti
260,ht_chantry.map,planner,1,33238,25650,206,203,28360,25650,10423,0,4,True,ht_chantry-random-5.scen,260,True,opti
260,ht_chantry.map,planner,1,33842,25650,206,203,28607,25650,10599,0,16,True,ht_chantry-random-5.scen,260,True,opti
260,ht_chantry.map,planner,1,33196,25650,205,203,28385,25650,10503,0,64,True,ht_chantry-random-5.scen,260,True,opti
260,ht_chantry.map,planner,1,32874,25650,205,203,28304,25650,10282,0,256,True,ht_chantry-random-5.scen,260,True,opti
320,ht_chantry.map,planner,1,42455,30916,203,203,35763,30916,10080,0,0,False,ht_chantry-random-5.scen,320,True,
320,ht_chantry.map,planner,1,42210,30916,203,203,35759,30916,10427,0,0,True,ht_chantry-random-5.scen,320,True,opti
320,ht_chantry.map,planner,1,41744,30916,207,203,35237,30916,10351,0,1,True,ht_chantry-random-5.scen,320,True,opti
320,ht_chantry.map,planner,1,41628,30916,203,203,35256,30916,10452,0,4,True,ht_chantry-random-5.scen,320,True,opti
320,ht_chantry.map,planner,1,41878,30916,203,203,35495,30916,10383,0,16,True,ht_chantry-random-5.scen,320,True,opti
320,ht_chantry.map,planner,1,41547,30916,210,203,35337,30916,10399,0,64,True,ht_chantry-random-5.scen,320,True,opti
320,ht_chantry.map,planner,1,41847,30916,207,203,35177,30916,10050,0,256,True,ht_chantry-random-5.scen,320,True,opti
380,ht_chantry.map,planner,1,50712,36536,208,203,42905,36536,10347,0,0,False,ht_chantry-random-5.scen,380,True,
380,ht_chantry.map,planner,1,51105,36536,205,203,42842,36536,10049,0,0,True,ht_chantry-random-5.scen,380,True,opti
380,ht_chantry.map,planner,1,50519,36536,216,203,42743,36536,10315,0,1,True,ht_chantry-random-5.scen,380,True,opti
380,ht_chantry.map,planner,1,50647,36536,208,203,42735,36536,10359,0,4,True,ht_chantry-random-5.scen,380,True,opti
380,ht_chantry.map,planner,1,50368,36536,207,203,42597,36536,10155,0,16,True,ht_chantry-random-5.scen,380,True,opti
380,ht_chantry.map,planner,1,50618,36536,207,203,42439,36536,10091,0,64,True,ht_chantry-random-5.scen,380,True,opti
380,ht_chantry.map,planner,1,50424,36536,207,203,42228,36536,10024,0,256,True,ht_chantry-random-5.scen,380,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11001,0,0,False,ht_chantry-random-12.scen,20,True,
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11012,0,0,True,ht_chantry-random-12.scen,20,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11000,0,1,True,ht_chantry-random-12.scen,20,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,10986,0,4,True,ht_chantry-random-12.scen,20,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11020,0,16,True,ht_chantry-random-12.scen,20,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11004,0,64,True,ht_chantry-random-12.scen,20,True,opti
20,ht_chantry.map,planner,1,1732,1693,190,190,1700,1693,11003,0,256,True,ht_chantry-random-12.scen,20,True,opti
80,ht_chantry.map,planner,1,7903,6817,192,190,7190,6817,10370,0,0,False,ht_chantry-random-12.scen,80,True,
80,ht_chantry.map,planner,1,7903,6817,192,190,7190,6817,10448,0,0,True,ht_chantry-random-12.scen,80,True,opti
80,ht_chantry.map,planner,1,7962,6817,191,190,7175,6817,10317,0,1,True,ht_chantry-random-12.scen,80,True,opti
80,ht_chantry.map,planner,1,7962,6817,191,190,7175,6817,10295,0,4,True,ht_chantry-random-12.scen,80,True,opti
80,ht_chantry.map,planner,1,7962,6817,191,190,7175,6817,10347,0,16,True,ht_chantry-random-12.scen,80,True,opti
80,ht_chantry.map,planner,1,7962,6817,191,190,7175,6817,10340,0,64,True,ht_chantry-random-12.scen,80,True,opti
80,ht_chantry.map,planner,1,7962,6817,191,190,7175,6817,10322,0,256,True,ht_chantry-random-12.scen,80,True,opti
140,ht_chantry.map,planner,1,15428,12705,195,195,13645,12705,10947,0,0,False,ht_chantry-random-12.scen,140,True,
140,ht_chantry.map,planner,1,15428,12705,195,195,13645,12705,11033,0,0,True,ht_chantry-random-12.scen,140,True,opti
140,ht_chantry.map,planner,1,15315,12705,195,195,13684,12705,10274,0,1,True,ht_chantry-random-12.scen,140,True,opti
140,ht_chantry.map,planner,1,15275,12705,195,195,13648,12705,10395,0,4,True,ht_chantry-random-12.scen,140,True,opti
140,ht_chantry.map,planner,1,15275,12705,195,195,13648,12705,10397,0,16,True,ht_chantry-random-12.scen,140,True,opti
140,ht_chantry.map,planner,1,15275,12705,195,195,13648,12705,10429,0,64,True,ht_chantry-random-12.scen,140,True,opti
140,ht_chantry.map,planner,1,15275,12705,195,195,13648,12705,10387,0,256,True,ht_chantry-random-12.scen,140,True,opti
200,ht_chantry.map,planner,1,23414,18947,195,195,20868,18947,10729,0,0,False,ht_chantry-random-12.scen,200,True,
200,ht_chantry.map,planner,1,23414,18947,195,195,20868,18947,10763,0,0,True,ht_chantry-random-12.scen,200,True,opti
200,ht_chantry.map,planner,1,23508,18947,197,195,20769,18947,10753,0,1,True,ht_chantry-random-12.scen,200,True,opti
200,ht_chantry.map,planner,1,23278,18947,196,195,20832,18947,10724,0,4,True,ht_chantry-random-12.scen,200,True,opti
200,ht_chantry.map,planner,1,23456,18947,195,195,20853,18947,10686,0,16,True,ht_chantry-random-12.scen,200,True,opti
200,ht_chantry.map,planner,1,23662,18947,195,195,20813,18947,10305,0,64,True,ht_chantry-random-12.scen,200,True,opti
200,ht_chantry.map,planner,1,23442,18947,201,195,20913,18947,10294,0,256,True,ht_chantry-random-12.scen,200,True,opti
260,ht_chantry.map,planner,1,32374,24686,195,195,27889,24686,10622,0,0,False,ht_chantry-random-12.scen,260,True,
260,ht_chantry.map,planner,1,32374,24686,195,195,27889,24686,10606,0,0,True,ht_chantry-random-12.scen,260,True,opti
