agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Scenario_File,N,opti_objective,functype
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10883,0,0,False,warehouse-10-20-10-2-1-random-16.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10854,0,0,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10884,0,1,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10871,0,4,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10872,0,16,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10867,0,64,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1640,1542,175,175,1589,1542,10868,0,256,True,warehouse-10-20-10-2-1-random-16.scen,20,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6667,5554,194,194,6010,5554,10142,0,0,False,warehouse-10-20-10-2-1-random-16.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,6554,5554,194,194,5931,5554,10378,0,0,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,10381,0,1,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,10421,0,4,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,10414,0,16,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,10344,0,64,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6712,5554,194,194,5957,5554,10404,0,256,True,warehouse-10-20-10-2-1-random-16.scen,60,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11569,8918,196,194,10269,8918,10123,0,0,False,warehouse-10-20-10-2-1-random-16.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11810,8918,201,194,10492,8918,10182,0,0,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10841,0,1,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10858,0,4,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10818,0,16,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10790,0,64,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11907,8918,195,194,10549,8918,10823,0,256,True,warehouse-10-20-10-2-1-random-16.scen,100,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16266,11786,194,194,14259,11786,10059,0,0,False,warehouse-10-20-10-2-1-random-16.scen,140,True,
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10488,0,0,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10568,0,1,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10558,0,4,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10539,0,16,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10531,0,64,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,11786,0,194,0,11786,10538,0,256,True,warehouse-10-20-10-2-1-random-16.scen,140,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,20444,14584,194,194,17792,14584,10085,0,0,False,warehouse-10-20-10-2-1-random-16.scen,180,True,
180,warehouse-10-20-10-2-1.map,planner,1,21531,14584,221,194,18908,14584,10317,0,0,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14584,0,194,0,14584,10444,0,1,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,24518,14584,361,194,20349,14584,10339,0,4,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10296,0,16,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10298,0,64,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,22366,14584,260,194,19121,14584,10305,0,256,True,warehouse-10-20-10-2-1-random-16.scen,180,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11117,0,0,False,warehouse-10-20-10-2-1-random-17.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11105,0,0,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11096,0,1,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11105,0,4,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11080,0,16,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11109,0,64,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1556,1552,185,185,1556,1552,11047,0,256,True,warehouse-10-20-10-2-1-random-17.scen,20,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5999,5221,185,185,5659,5221,10278,0,0,False,warehouse-10-20-10-2-1-random-17.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,5950,5221,185,185,5591,5221,10355,0,0,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6094,5221,198,185,5724,5221,10191,0,1,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5925,5221,187,185,5572,5221,10286,0,4,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5925,5221,187,185,5572,5221,10295,0,16,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5925,5221,187,185,5572,5221,10294,0,64,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5925,5221,187,185,5572,5221,10292,0,256,True,warehouse-10-20-10-2-1-random-17.scen,60,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,10798,8671,200,185,9975,8671,10169,0,0,False,warehouse-10-20-10-2-1-random-17.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11614,8671,232,185,10527,8671,10214,0,0,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11363,8671,230,185,10242,8671,10334,0,1,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11372,8671,310,185,10406,8671,10368,0,4,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11372,8671,310,185,10406,8671,10314,0,16,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11577,8671,254,185,10596,8671,10299,0,64,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11577,8671,254,185,10596,8671,10300,0,256,True,warehouse-10-20-10-2-1-random-17.scen,100,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,15724,11456,198,185,14193,11456,10210,0,0,False,warehouse-10-20-10-2-1-random-17.scen,140,True,
140,warehouse-10-20-10-2-1.map,planner,1,16694,11456,244,185,14762,11456,10428,0,0,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16569,11456,263,185,15105,11456,10301,0,1,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16569,11456,263,185,15105,11456,10262,0,4,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16569,11456,263,185,15105,11456,10256,0,16,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16569,11456,263,185,15105,11456,10251,0,64,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16569,11456,263,185,15105,11456,10261,0,256,True,warehouse-10-20-10-2-1-random-17.scen,140,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,20465,14387,252,185,17999,14387,10310,0,0,False,warehouse-10-20-10-2-1-random-17.scen,180,True,
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10475,0,0,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10452,0,1,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10452,0,4,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10455,0,16,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10464,0,64,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,14387,0,185,0,14387,10453,0,256,True,warehouse-10-20-10-2-1-random-17.scen,180,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10949,0,0,False,warehouse-10-20-10-2-1-random-9.scen,20,True,
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10907,0,0,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10907,0,1,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10920,0,4,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10927,0,16,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10950,0,64,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1371,1369,167,167,1371,1369,10927,0,256,True,warehouse-10-20-10-2-1-random-9.scen,20,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,6131,5184,178,167,5505,5184,10220,0,0,False,warehouse-10-20-10-2-1-random-9.scen,60,True,
60,warehouse-10-20-10-2-1.map,planner,1,5856,5184,178,167,5495,5184,10335,0,0,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5944,5184,225,167,5567,5184,10226,0,1,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5944,5184,225,167,5567,5184,10225,0,4,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5944,5184,225,167,5567,5184,10227,0,16,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5944,5184,225,167,5567,5184,10235,0,64,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
60,warehouse-10-20-10-2-1.map,planner,1,5944,5184,225,167,5567,5184,10234,0,256,True,warehouse-10-20-10-2-1-random-9.scen,60,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11098,8856,204,190,10052,8856,10219,0,0,False,warehouse-10-20-10-2-1-random-9.scen,100,True,
100,warehouse-10-20-10-2-1.map,planner,1,11104,8856,200,190,10197,8856,10329,0,0,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10158,0,1,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10165,0,4,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10154,0,16,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10195,0,64,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
100,warehouse-10-20-10-2-1.map,planner,1,11753,8856,275,190,10603,8856,10158,0,256,True,warehouse-10-20-10-2-1-random-9.scen,100,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16218,12080,195,190,14679,12080,10072,0,0,False,warehouse-10-20-10-2-1-random-9.scen,140,True,
140,warehouse-10-20-10-2-1.map,planner,1,16278,12080,232,190,14795,12080,10179,0,0,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16739,12080,253,190,14981,12080,10377,0,1,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,1,16809,12080,250,190,15001,12080,10368,0,4,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,12080,0,190,0,12080,10560,0,16,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,12080,0,190,0,12080,10567,0,64,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
140,warehouse-10-20-10-2-1.map,planner,0,0,12080,0,190,0,12080,10547,0,256,True,warehouse-10-20-10-2-1-random-9.scen,140,True,opti
180,warehouse-10-20-10-2-1.map,planner,1,21487,15038,272,190,19110,15038,10106,0,0,False,warehouse-10-20-10-2-1-random-9.scen,180,True,
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10409,0,0,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10427,0,1,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10432,0,4,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10435,0,16,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10431,0,64,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
180,warehouse-10-20-10-2-1.map,planner,0,0,15038,0,190,0,15038,10444,0,256,True,warehouse-10-20-10-2-1-random-9.scen,180,True,opti
20,warehouse-10-20-10-2-1.map,planner,1,1816,1816,176,176,1816,1816,4436,0,0,False,warehouse-10-20-10-2-1-random-15.scen,20,True,
